code,country,2006,2008,2010,2011,2012,2013,2014,2015,2016
SWE,Sweden,9.875,9.875,9.49801587301587,9.49801587301587,9.73412698412698,9.73412698412698,9.73412698412698,9.453081232493,9.39425770308123
PRK,North Korea,1.02777777777778,0.861111111111111,1.08333333333333,1.08333333333333,1.08333333333333,1.08333333333333,1.08333333333333,1.08333333333333,1.08333333333333
CAF,Central African Republic,1.60679271708683,1.86085434173669,1.81591970121382,1.81591970121382,1.98585434173669,1.48725490196078,1.48725490196078,1.57058823529412,1.61423902894491
TCD,Chad,1.64705882352941,1.52205882352941,1.52205882352941,1.61928104575163,1.61928104575163,1.5016339869281,1.5016339869281,1.5016339869281,1.5016339869281
TGO,Togo,1.74619514472456,2.43326330532213,3.44733893557423,3.44733893557423,3.44733893557423,3.44733893557423,3.44733893557423,3.40765639589169,3.32432306255836
MMR,Myanmar,1.76972455648926,1.76972455648926,1.76972455648926,1.76972455648926,2.35077030812325,2.76206816059757,3.04708216619981,4.14091970121382,4.19974323062558
TKM,Turkmenistan,1.83034547152194,1.71923436041083,1.71923436041083,1.71923436041083,1.71923436041083,1.71923436041083,1.83034547152194,1.83034547152194,1.83034547152194
LBY,Libya,1.84491129785247,2.00373482726424,1.94491129785247,3.546918767507,5.15494864612512,4.8156629318394,3.80049019607843,2.24656862745098,2.24656862745098
UZB,Uzbekistan,1.84701213818861,1.7359010270775,1.7359010270775,1.7359010270775,1.72201213818861,1.72201213818861,2.45415499533147,1.95018674136321,1.95018674136321
SAU,Saudi Arabia,1.92159197012138,1.89659197012138,1.83776844070962,1.77159197012138,1.71276844070962,1.82387955182073,1.82387955182073,1.93499066293184,1.93499066293184
GNB,Guinea-Bissau,2.00203081232493,1.99428104575163,1.99428104575163,1.99428104575163,1.43218954248366,1.26225490196078,1.92565359477124,1.92565359477124,1.98447712418301
GIN,Guinea,2.02217553688142,2.0906162464986,2.7906162464986,2.7906162464986,2.7906162464986,2.84290382819795,3.01283846872082,3.13783846872082,3.13783846872082
GNQ,Equatorial Guinea,2.08776844070962,2.19152661064426,1.84341736694678,1.77070494864613,1.82952847805789,1.77070494864613,1.65959383753501,1.77070494864613,1.69927637721755
LAO,Laos,2.10037348272642,2.10037348272642,2.10037348272642,2.10037348272642,2.32259570494865,2.21148459383754,2.21148459383754,2.21148459383754,2.36554621848739
ERI,Eritrea,2.312558356676,2.312558356676,2.312558356676,2.33776844070962,2.40394491129785,2.40394491129785,2.44362745098039,2.37219887955182,2.37219887955182
SYR,Syria,2.35959383753501,2.18102240896359,2.31127450980392,1.98541083099907,1.62698412698413,1.86309523809524,1.73809523809524,1.43055555555556,1.43055555555556
DJI,Djibouti,2.36741363211951,2.36741363211951,2.20401493930906,2.68148926237162,2.74031279178338,2.9625350140056,2.98774509803922,2.90441176470588,2.83298319327731
AGO,Angola,2.40520541549953,3.3515172735761,3.32047152194211,3.32047152194211,3.34824929971989,3.34824929971989,3.34824929971989,3.34824929971989,3.40053688141923
ARE,UAE,2.42474323062558,2.59617180205416,2.52474323062558,2.58356676003735,2.58356676003735,2.52474323062558,2.63585434173669,2.74696545284781,2.74696545284781
TJK,Tajikistan,2.45354808590103,2.45354808590103,2.51237161531279,2.51237161531279,2.51237161531279,2.51237161531279,2.36951447245565,1.94957983193277,1.89075630252101
ZWE,Zimbabwe,2.62266573295985,2.53050887021475,2.63704481792717,2.68197945845005,2.67086834733894,2.67086834733894,2.78197945845005,3.04983660130719,3.04983660130719
BTN,Bhutan,2.62334267040149,4.29754901960784,4.68008870214753,4.56897759103641,4.65231092436975,4.81897759103641,4.87453314659197,4.93335667600373,4.93335667600373
GAB,Gabon,2.72406629318394,2.99922969187675,3.29367413632119,3.47749766573296,3.56083099906629,3.75527544351074,3.75527544351074,3.75527544351074,3.73811858076564
VNM,Vietnam,2.7484827264239,2.52626050420168,2.94292717086835,2.95681605975724,2.88538748832866,3.29143323996265,3.40908029878618,3.52672735760971,3.38387021475257
COD,Congo,2.76423902894491,2.28288982259571,2.15333800186741,2.15333800186741,1.91524276377218,1.83190943043884,1.74857609710551,2.10968720821662,1.93321661998133
OMN,Oman,2.77114845938375,2.98225957049486,2.85725957049486,3.26202147525677,3.26202147525677,3.26202147525677,3.15091036414566,3.03979925303455,3.03979925303455
QAT,Qatar,2.78375350140056,2.91608309990663,3.09465452847806,3.17868814192344,3.17868814192344,3.17868814192344,3.17868814192344,3.17868814192344,3.17868814192344
SDN,Sudan,2.90182072829132,2.80588235294118,2.42296918767507,2.37675070028011,2.37675070028011,2.54014939309057,2.54014939309057,2.37021475256769,2.37021475256769
IRN,Iran,2.92784780578898,2.83319327731092,1.94024276377218,1.97992530345472,1.97992530345472,1.97992530345472,1.97992530345472,2.15721288515406,2.33975256769374
SWZ,Swaziland,2.93204948646125,3.03989262371615,2.89773576097106,3.25884687208217,3.2000233426704,3.2000233426704,3.08891223155929,3.08891223155929,3.03008870214753
CHN,China,2.96942110177404,3.04084967320261,3.13807189542484,3.13807189542484,3.00046685340803,3.00046685340803,3.00046685340803,3.13935574229692,3.13935574229692
YEM,Yemen,2.97733426704015,2.95294117647059,2.63688141923436,2.57012138188609,3.12100840336134,2.78767507002801,2.78767507002801,2.23678804855275,2.06535947712418
TUN,Tunisia,3.05557889822596,2.9578664799253,2.78793183940243,5.53235294117647,5.67450980392157,5.7578431372549,6.30873015873016,6.72131185807656,6.39631185807656
AFG,Afghanistan,3.06013071895425,3.01727357609711,2.47740429505135,2.47740429505135,2.47740429505135,2.47740429505135,2.77105508870215,2.77105508870215,2.54883286647993
